id|trad|simp|jyutping
2273|公眾假期|公众假期|gung1 zung3 gaa3 kei4
2274|公私分明|公私分明|gung1 si1 fan1 ming4
2275|公立醫院|公立医院|gung1 lap6 ji1 jyun2
2276|公認|公认|gung1 jing6
2277|公道|公道|gung1 dou6
2278|公餘|公余|gung1 jyu4
2279|六個字|六个字|luk6 go3 zi6
2280|六六六|六六六|luk6 luk6 luk6
2281|六十六|六十六|luk6 sap6 luk6
2282|六千|六千|luk6 cin1
2283|六國大封相|六国大封相|luk6 gwok3 daai6 fung1 soeng1
2284|六式碼|六式码|luk6 sik1 maa5
2285|六日|六日|luk6 jat6
2286|六環彩|六环彩|luk6 waan4 coi2
2287|六耳不同謀|六耳不同谋|luk6 ji5 bat1 tung4 mau4
2288|六號|六号|luk6 hou6
2289|六部|六部|luk6 bou6
2290|共|共|gung6
2291|共勉|共勉|gung6 min5
2292|共同富裕|共同富裕|gung6 tung4 fu3 jyu6
2293|共同市場|共同市场|gung6 tung4 si5 coeng4
2294|共埋|共埋|gung6 maai4
2295|兵|兵|bing1
2296|兵役法|兵役法|bing1 jik6 faat3
2297|兵燹|兵燹|bing1 sin2
2298|兵頭|兵头|bing1 tau4
2299|兵頭花園|兵头花园|bing1 tau4 faa1 jyun2
2300|兵馬俑|兵马俑|bing1 maa5 jung2
2301|其|其|kei4
2302|其中|其中|kei4 zung1
2303|其中之一|其中之一|kei4 zung1 zi1 jat1
2304|其他人|其他人|kei4 taa1 jan4
2305|其時|其时|kei4 si4
2306|具體|具体|geoi6 tai2
2307|典型調查|典型调查|din2 jing4 diu6 caa4
2308|兼且|兼且|gim1 ce2
2309|兼夾|兼夹|gim1 gaap3
2310|兼職|兼职|gim1 zik1
2311|兼開|兼开|gim1 hoi1
2312|兼隊|兼队|gim1 deoi6
2313|冀望|冀望|kei3 mong6
2314|冇|冇|mou5
2315|冇乜|冇乜|mou5 mat1
2316|冇乜兩句|冇乜两句|mou5 mat1 loeng5 geoi3
2317|冇乜嘢|冇乜嘢|mou5 mat1 je5
2318|冇乜好死|冇乜好死|mou5 mat1 hou2 sei2
2319|冇乜所謂|冇乜所谓|mou5 mat1 so2 wai6
2320|冇乜滯|冇乜滞|mou5 mat1 zai6
2321|冇乜點|冇乜点|mou5 me1 dim2
2322|冇事|冇事|mou5 si6
2323|冇交易|冇交易|mou5 gaau1 jik6
2324|冇人有|冇人有|mou5 jan4 jau5
2325|冇你咁好氣|冇你咁好气|mou5 nei5 gam3 hou2 hei3
2326|冇來由|冇来由|mou5 loi4 jau4
2327|冇修|冇修|mou5 sau1
2328|冇兩句|冇两句|mou5 loeng5 geoi3
2329|冇公德心|冇公德心|mou5 gung1 dak1 sam1
2330|冇出息|冇出息|mou5 ceot1 sik1
2331|冇厘搭霎|冇厘搭霎|mou5 lei4 daap3 saap3
2332|冇厘神氣|冇厘神气|mou5 lei4 san4 hei3
2333|冇口齒|冇口齿|mou5 hau2 ci2
2334|冇咁好氣|冇咁好气|mou5 gam2 hou2 hei3
2335|冇問題|冇问题|mou5 man6 tai4
2336|冇啖好食|冇啖好食|mou5 daam6 hou2 sik6
2337|冇嘢|冇嘢|mou5 je5
2338|冇嘢到|冇嘢到|mou5 je5 dou3
2339|冇埞企|冇埞企|mou5 deng6 kei5
2340|冇大冇細|冇大冇细|mou5 daai6 mou5 sai3
2341|冇天裝|冇天装|mou5 tin1 zong1
2342|冇奈何|冇奈何|mou5 noi6 ho4
2343|冇好氣|冇好气|mou5 hou2 hei3
2344|冇定性|冇定性|mou5 ding6 sing3
2345|冇定準|冇定准|mou5 ding6 zeon2
2346|冇家教|冇家教|mou5 gaa1 gaau3
2347|冇尾飛砣|冇尾飞砣|mou5 mei5 fei1 to4
2348|冇尾飛陀|冇尾飞陀|mou5 mei5 fei1 to4
2349|冇幾何|冇几何|mou5 gei2 ho2
2350|冇幾耐|冇几耐|mou5 gei2 noi6
2351|冇彎轉|冇弯转|mou5 waan1 zyun3
2352|冇得|冇得|mou5 dak1
2353|冇得傾|冇得倾|mou5 dak1 king1
2354|冇得彈|冇得弹|mou5 dak1 taan4
2355|冇得揀|冇得拣|mou5 dak1 gaan2
2356|冇得頂|冇得顶|mou5 dak1 ding2
2357|冇心機|冇心机|mou5 sam1 gei1
2358|冇心肝|冇心肝|mou5 sam1 gon1
2359|冇心裝載|冇心装载|mou5 sam1 zong1 zoi3
2360|冇所謂|冇所谓|mou5 so2 wai6
2361|冇手尾|冇手尾|mou5 sau2 mei5
2362|冇掩雞籠|冇掩鸡笼|mou5 jim2 gai1 lung4
2363|冇揸拿|冇揸拿|mou5 zaa1 naa4
2364|冇搭霎|冇搭霎|mou5 daap3 saap3
2365|冇搭颯|冇搭飒|mou5 daap3 saap3
2366|冇收|冇收|mou5 sau1
2367|冇數為|冇数为|mou5 sou3 wai4
2368|冇料|冇料|mou5 liu2
2369|冇料到|冇料到|mou5 liu2 dou3
2370|冇時|冇时|mou5 si4
2371|冇時冇候|冇时冇候|mou5 si4 mou5 hau6
2372|冇時定|冇时定|mou5 si4 ding6
2373|冇晒符|冇晒符|mou5 saai3 fu4
2374|冇晒表情|冇晒表情|mou5 saai3 biu2 cing4
2375|冇有|冇有|mou5 jau5
2376|冇有怕|冇有怕|mou5 jau5 paa3
2377|冇本心|冇本心|mou5 bun2 sam1
2378|冇根蔸|冇根蔸|mou5 gan1
2379|冇死|冇死|mou5 sei2
2380|冇水|冇水|mou5 seoi2
2381|冇牙老虎|冇牙老虎|mou5 ngaa4 lou5 fu2
2382|冇王管|冇王管|mou5 wong2 gun2
2383|冇理由|冇理由|mou5 lei5 jau4
2384|冇瓦遮頭|冇瓦遮头|mou5 ngaa5 ze1 tau4
2385|冇用|冇用|mou5 jung6
2386|冇甩拖|冇甩拖|mou5 lat1 to1
2387|冇癮|冇瘾|mou5 jan5
2388|冇益|冇益|mou5 jik1
2389|冇相干|冇相干|mou5 soeng1 gon1
2390|冇眼屎乾淨盲|冇眼屎干净盲|mou5 ngaan5 si2 gon1 zeng6 maang4
2391|冇眼界|冇眼界|mou5 ngaan5 gaai3
2392|冇眼睇|冇眼睇|mou5 ngaan5 tai2
2393|冇着落|冇着落|mou5 zoek6 lok6
2394|冇着衫|冇着衫|mou5 zoek6 saam1
2395|冇睇頭|冇睇头|mou5 tai2 tau4
2396|冇研究|冇研究|mou5 jin4 gau3
2397|冇穿冇爛|冇穿冇烂|mou5 cyun1 mou5 laan6
2398|冇符|冇符|mou5 fu4
2399|冇米粥|冇米粥|mou5 mai5 zuk1
2400|冇精神|冇精神|mou5 1 zing1 san4
2401|冇紋冇路|冇纹冇路|mou5 man4 mou5 lou6
2402|冇紋路|冇纹路|mou5 man4 lou6
2403|冇緊要|冇紧要|mou5 gan2 jiu3
2404|冇耐|冇耐|mou5 noi6
2405|冇耳性|冇耳性|mou5 ji5 sing3
2406|冇聲冇氣|冇声冇气|mou5 seng1 mou5 hei3
2407|冇聲氣|冇声气|mou5 seng1 hei3
2408|冇腦|冇脑|mou5 nou5
2409|冇腰骨|冇腰骨|mou5 jiu1 gwat1
2410|冇膽|冇胆|mou5 daam2
2411|冇膽匪類|冇胆匪类|mou5 daam2 fei2 leoi6
2412|冇膽鬼|冇胆鬼|mou5 daam2 gwai2
2413|冇著衫|冇着衫|mou5 zoek3 saam1
2414|冇行|冇行|mou5 hong4
2415|冇衣食|冇衣食|mou5 ji1 sik6
2416|冇表情|冇表情|mou5 biu2 cing4
2417|冇解|冇解|mou5 gaai2
2418|冇計|冇计|mou5 gai2
2419|冇記性|冇记性|mou5 gei3 sing3
2420|冇話|冇话|mou5 waa6
2421|冇譜|冇谱|mou5 pou2
2422|冇走盞|冇走盏|mou5 zau2 zaan2
2423|冇走趲|冇走趱|mou5 zau2 zaan2
2424|冇走雞|冇走鸡|mou5 zau2 gai1
2425|冇辦法|冇办法|mou5 baan6 faat3
2426|冇醒起|冇醒起|mou5 sing2 hei2
2427|冇釐搭霎|冇釐搭霎|mou5 lei4 daap3 saap3
2428|冇釐正經|冇厘正经|mou5 lei4 zing3 ging1
2429|冇釐癮頭|冇釐瘾头|mou5 lei4 jan5 tau4
2430|冇釐神氣|冇釐神气|mou5 lei4 san4 hei3
2431|冇銀喺手|冇银喺手|mou5 ngan4 hai2 sau2
2432|冇錯|冇错|mou5 co3
2433|冇關係|冇关系|mou5 gwaan1 hai6
2434|冇问题|冇问题|mou5 man6 tai4
2435|冇陰功|冇阴功|mou5 jam1 gung1
2436|冇雷公咁遠|冇雷公咁远|mou5 leoi4 gung1 gam3 jyun5
2437|冇面|冇面|mou5 min6
2438|冇面俾|冇面俾|mou5 min6 bei2
2439|冇鞋挽屐走|冇鞋挽屐走|mou5 haai4 waan5 kek6 zau2
2440|冇頭烏蠅|冇头乌蝇|mou5 tau4 wu1 jing4
2441|冇鬼用|冇鬼用|mou5 gwai2 jung6
2442|冉有|冉有|jim5 jau5
2443|再三|再三|zoi3 saam1
2444|再加|再加|zoi3 gaa1
2445|再加上|再加上|zoi3 gaa1 soeng5
2446|再嚟過|再嚟过|zoi3 lai4 gwo3
2447|再現|再现|zoi3 jin6
2448|再生資源|再生资源|zoi3 sang1 zi1 jyun4
2449|再試|再试|zoi3 si3
2450|再説|再说|zoi3 syut3
2451|再講|再讲|zoi3 gong2
2452|再議|再议|zoi3 ji5
2453|冒|冒|mou6
2454|冒尖|冒尖|mou6 zim1
2455|冒泡|冒泡|mou6 pou5
2456|冕旒|冕旒|min5 lau4
2457|最主要|最主要|zeoi3 zyu2 jiu3
2458|最低|最低|zeoi3 dai1
2459|最低工資|最低工资|zeoi3 dai1 gung1 zi1
2460|最初|最初|zeoi3 co1
2461|最多唔係|最多唔系|zeoi3 do1 m4 hai6
2462|最大|最大|zeoi3 daai6
2463|最尾|最尾|zeoi3 mei1
2464|最快|最快|zeoi3 faai3
2465|最早|最早|zeoi3 zou2
2466|最短|最短|zeoi3 dyun2
2467|最長|最长|zeoi3 coeng4
2468|最高峰|最高峰|zeoi3 gou1 fung1
2469|最高溫度|最高温度|zeoi3 gou1 wan1 dou6
2470|冚唪唥|冚唪唥|ham6 baang6 laang6
2471|冚啲|冚啲|ham6 di1
2472|冚𠾴唥|冚𠾴唥|ham6 baang6 laang6
2473|冚國旗|冚国旗|ham6 gwok3 kei4
2474|冚家|冚家|kam2 gaa1
2475|冚家剷|冚家铲|gam2 gaa1 caan2
2476|冚家富貴|冚家富贵|gam2 gaa1 fu3 gwai3
2477|冚家鏟|冚家铲|ham6 gaa1 caan2
2478|冚斗|冚斗|kam2 dau3
2479|冚旗|冚旗|kam2 kei4
2480|冚檔|冚档|kam2 dong3
2481|冚盅|冚盅|ham6 zung1
2482|冚竇|冚窦|ham6 dau6
2483|冚蓆瞓石|冚席瞓石|ham6 zek6 fan3 sek6
2484|冚賭|冚赌|gam2 dou2
2485|冠狀病毒|冠状病毒|gun1 zong6 beng6 duk6
2486|冠軍|冠军|gun3 gwan1
2487|冤|冤|jyun1
2488|冤冤相報|冤冤相报|jyun1 jyun1 soeng1 bou3
2489|冤厲|冤厉|jyun1 lai6
2490|冤口冤面|冤口冤面|jyun1 hau2 jyun1 min6
2491|冤崩爛臭|冤崩烂臭|jyun1 bang1 laan6 cau3
2492|冤戾|冤戾|jyun1 lai6
2493|冤有頭，債有主|冤有头，债有主|jyun1 jau5 tau4 ，zaai3 jau5 zyu2
2494|冤臭|冤臭|jyun1 cau3
2495|冤豬頭都有盟鼻菩薩|冤猪头都有盟鼻菩萨|jyun1 zyu1 tau4 dou1 jau5 mang4 bei6 pou4 saat3
2496|冤鬼|冤鬼|jyun1 gwai2
2497|冥冥|冥冥|ming5 ming5
2498|冥冥之中|冥冥之中|ming5 ming5 zi1 zung1
2499|冥壽|冥寿|ming5 sau6
2500|冥誕|冥诞|ming5 daan3
2501|冥鈔|冥钞|ming5 caau1
2502|冧價|冧价|lam3 gaa3
2503|冧友|冧友|lam1 jau5
2504|冧咗|冧咗|lam3 zo2
2505|冧宮頭|冧宫头|lam3 gung1 tau4
2506|冧巴|冧巴|lam1 baa2
2507|冧巴溫|冧巴温|lam1 baa1 wan1
2508|冧把|冧把|lam1 baa2
2509|冧檔|冧档|lam1 dong3
2510|冧歌|冧歌|lam1 go1
2511|冧篷頭|冧篷头|lam1 pung4 tau4
2512|冧酒|冧酒|lam1 zau2
2513|冬大過年|冬大过年|dung1 daai6 gwo3 nin4
2514|冬季|冬季|dung1 gwai3
2515|冬小麥|冬小麦|dung1 siu2 mak6
2516|冬瓜盅|冬瓜盅|dung1 gwaa1 zung1
2517|冬瓜豆腐|冬瓜豆腐|dung1 gwaa1 dau6 fu6
2518|冬甩|冬甩|dung1 lat1
2519|冬菇|冬菇|dung1 gu1
2520|冰上曲棍球|冰上曲棍球|bing1 soeng6 kuk1 gwan3 kau4
2521|冰人|冰人|bing1 jan4
2522|冰天雪地|冰天雪地|bing1 tin1 syut3 dei6
2523|冰室|冰室|bing1 sat1
2524|冰山|冰山|bing1 saan1
2525|冰格|冰格|bing1 gaak3
2526|冰片糖|冰片糖|bing1 pin3 tong4
2527|冰糖|冰糖|bing1 tong4
2528|冰魂雪魄|冰魂雪魄|bing1 wan4 syut3 paak3
2529|冶金工業|冶金工业|je5 gam1 gung1 jip6
2530|冷|冷|laang5
2531|冷卻器|冷却器|laang5 koek3 hei3
2532|冷嚫|冷嚫|laang5 can3
2533|冷宮|冷宫|laang5 gung1
2534|冷巷|冷巷|laang5 hong6
2535|冷帽|冷帽|laang5 mou6
2536|冷待|冷待|laang5 doi6
2537|冷手執個熱煎堆|冷手执个热煎堆|laang5 sau2 zap1 go3 jit3 zin1 deoi1
2538|冷板凳|冷板凳|laang5 baan2 dang3
2539|冷淡|冷淡|laang5 daam6
2540|冷箭|冷箭|laang5 zin3
2541|冷藏庫|冷藏库|laang5 cong4 fu3
2542|冷衫|冷衫|laang1 saam1
2543|冷親|冷亲|laang5 can1
2544|冷門|冷门|laang5 mun2
2545|冷震|冷震|laang5 zan3
2546|冷飯|冷饭|laang5 faan6
2547|冷飯菜汁|冷饭菜汁|laang5 faan6 coi3 zap1
2548|凈係|净系|zing6 hai6
2549|凌厲|凌厉|ling4 lai6
2550|凌駕於|凌驾于|ling4 gaa3 jyu1
2551|凍|冻|dung3
2552|凍冰冰|冻冰冰|dung3 bing1 bing1
2553|凍啡|冻啡|dung3 fei1
2554|凍房|冻房|dung3 fong2
2555|凍檸水|冻柠水|dung3 ning4 seoi2
2556|凍檸茶|冻柠茶|dung3 ling4 caa4
2557|凍水|冻水|dung3 seoi2
2558|凍滾水|冻滚水|dung3 gwan2 seoi2
2559|凍親|冻亲|dung3 can1
2560|凍過水|冻过水|dung3 gwo3 seoi2
2561|凘|凘|si1
2562|凜凜|凛凛|lam5 lam5
2563|凜然|凛然|lam5 jin4
2564|凝眸|凝眸|凝:jing4 mau4
2565|凝重|凝重|jing4 zung6
2566|凡係|凡系|faan4 hai6
2567|凱旋|凯旋|hoi2 syun4
2568|凱旋歸來|凯旋归来|hoi2 syun4 gwai1 loi4
2569|凱風|凯风|hoi2 fung1
2570|凳仔|凳仔|dang3 zai2
2571|凸字|凸字|dat6 zi6
2572|凸眼|凸眼|dat6 ngaan5
2573|凹位|凹位|nap1 wai2
2574|凹凸印|凹凸印|nap1 dat6 jan3
2575|凹凹凸凸|凹凹凸凸|nap1 nap1 dat6 dat6
2576|凹處|凹处|nap1 cyu3
2577|出|出|ceot1
2578|出世紙|出世纸|ceot1 sai3 zi2
2579|出主意|出主意|ceot1 zyu2 ji3
2580|出人頭地|出人头地|ceot1 jan4 tau4 dei6
2581|出以公心|出以公心|Ceot1 ji5 gung1 sam1
2582|出位|出位|ceot1 wai2
2583|出便|出便|ceot1 bin6
2584|出入|出入|ceot1 jap6
2585|出入口|出入口|ceot1 jap6 hau2
2586|出入境|出入境|ceot1 jap6 ging2
2587|出入證|出入证|ceot1 jap6 zing3
2588|出公數|出公数|ceot1 gung1 sou3
2589|出冊|出册|ceot1 caak3
2590|出出入入|出出入入|ceot1 ceot1 jap6 jap6
2591|出前一丁|出前一丁|ceot1 cin4 jat1 ding1
2592|出力|出力|ceot1 lik6
2593|出勤率|出勤率|ceot1 kan4 leot6
2594|出千|出千|ceot1 cin1
2595|出去|出去|ceot1 heoi3
2596|出名|出名|ceot1 meng2
2597|出嘢|出嘢|ceot1 je5
2598|出嚟|出嚟|ceot1 lei4
2599|出嚟撈|出嚟捞|ceot1 lai4 lou1
2600|出嚟蒲|出嚟蒲|ceot1 lai4 pou4
2601|出嚟行|出嚟行|ceot1 lai2 hang4
2602|出土|出土|ceot1 tou2
2603|出土文物|出土文物|ceot1 tou2 man4 mat6
2604|出埠|出埠|ceot1 au6
2605|出夜街|出夜街|ceot1 je6 gaai1
2606|出將入相|出将入相|ceot1 zoeng3 jap6 soeng3
2607|出山|出山|ceot1 saan1
2608|出工|出工|ceot1 gung1
2609|出師表|出师表|ceot1 si1 biu2
2610|出年|出年|ceot1 nin2
2611|出得廳堂，入得廚房|出得厅堂，入得厨房|ceot1 dak1 teng1 tong4 ，jap6 dak1 ceoi4 fong4
2612|出息|出息|ceot1 sik1
2613|出手|出手|ceot1 sau2
2614|出晒名|出晒名|ceot1 saai3 meng2
2615|出更|出更|ceot1 gang1
2616|出橫手|出橫手|ceot1 waang4 sau2
2617|出氣|出气|ceot1 hei3
2618|出水|出水|ceot1 seoi2
2619|出水紙|出水纸|ceot1 seoi2 zi2
2620|出汁|出汁|ceot1 zap1
2621|出污泥而不染|出污泥而不染|ceot1 wu1 nai4 ji4 bat1 jim5
2622|出沒|出没|ceot1 mut6
2623|出沖|出冲|ceot1 cung1
2624|出火|出火|ceot1 fo2
2625|出爾反爾|出尔反尔|ceot1 ji5 faan2 ji5
2626|出版業|出版业|ceot1 baan2 jip6
2627|出版界|出版界|ceot1 baan2 gaai3
2628|出生|出生|ceot1 saang1
2629|出痘|出痘|ceot1 dau6
2630|出痲|出麻|ceot1 maa4
2631|出發|出发|ceot1 faat3
2632|出盡八寶|出尽八宝|ceot1 zeon6 baat3 bou2
2633|出盡百寶|出尽百宝|ceot1 zeon6 baak3 bou2
2634|出碟|出碟|ceot1 dip6
2635|出租|出租|ceot1 zou1
2636|出糧|出粮|ceot1 loeng4
2637|出聲|出声|ceot1 seng1
2638|出蠱惑|出蛊惑|ceot1 gu2 waak6
2639|出術|出术|ceot1 seot6
2640|出街|出街|ceot1 gaai1
2641|出謀獻策|出谋献策|ceot1 mau4 hin3 caak3
2642|出貓|出猫|ceot1 maau1
2643|出貓仔|出猫仔|ceot1 maau1 zai2
2644|出路|出路|ceot1 lou6
2645|出銃|出铳|ceot1 cung3
2646|出雙入對|出双入对|ceot1 soeng1 jap6 deoi3
2647|出面|出面|ceot1 min2
2648|出頭|出头|ceot1 tau4
2649|出頭露面|出头露面|ceot1 tau4 lou6 min6
2650|出風頭|出风头|ceot1 fung1 tau4
2651|出馬|出马|ceot1 maa5
2652|出騷|出骚|ceot1 sou1
2653|出麻|出麻|ceot1 maa4
2654|刀仔|刀仔|dou1 zai2
2655|刀仔鋸大樹|刀仔锯大树|dou1 zai2 goe3 daai6 syu6
2656|刀光劍影|刀光剑影|dou1 gwong1 gim3 jeng2
2657|刀兵|刀兵|dou1 bing1
2658|刀字邊|刀字边|dou1 zi6 bin1
2659|刀柄|刀柄|dou1 beng3
2660|刁|刁|diu1
2661|刁僑扭擰|刁侨扭拧|diu1 kiu4 nau2 ning6
2662|刁喬扭擰|刁乔扭拧|diu1 kiu4 nau2 ling2 ling6
2663|刁士|刁士|diu1 si6
2664|刁時|刁时|diu1 si4
2665|刁蠻|刁蛮|diu1 maan4
2666|分分鐘|分分钟|fan1 fan1 zung1
2667|分子結構|分子结构|fan6 zi2 git3 gau3
2668|分式|分式|fan6 sik1
2669|分式方程|分式方程|fan6 sik1 fong1 cing4
2670|分得出|分得出|fan1 dak1 ceot1
2671|分我杯羹|分我杯羹|fan1 ngo5 bui1 gang1
2672|分散|分散|fan1 saan3
2673|分數|分数|fan1 sou3
2674|分甘同味|分甘同味|fan1 gam1 tung4 mei6
2675|分粉訓墳憤份|分粉训坟愤份|fan1 fan2 fan3 fan4 fan5 fan6
2676|分粉訓墳憤份忽發佛|分粉训坟愤份忽发佛|fan1 fan2 fan3 fan4 fan5 fan6 fat1 faat3 fat6
2677|分線|分线|fan1 sin3
2678|分豬肉|分猪肉|fan1 zyu1 juk6
2679|分身乏術|分身乏术|fan1 san1 fat6 seot6
2680|分門別類|分门别类|fan1 mun4 bit6 leoi6
2681|分開|分开|fan1 hoi1
2682|分離|分离|fan1 lei4
2683|分類廣告|分类广告|fan1 leoi6 gwong2 gou3
2684|分餅仔|分饼仔|fan1 beng2 zai2
2685|切|切|cit3
2686|切削力|切削力|cit3 soek3 lik6
2687|切割機|切割机|cit3 got3 gei1
2688|切勿|切勿|cit3 mat6
2689|切奶|切奶|cit3 naai5
2690|切絲|切丝|cit3 si1
2691|切肉不離皮|切肉不离皮|cit3 juk6 bat1 lei4 pei4
2692|切菜|切菜|cit3 coi3
2693|切身利益|切身利益|cit3 san1 lei6 jik1
2694|切醋|切醋|cit3 cou3
2695|切開|切开|cit3 hoi1
2696|切餸|切餸|cit3 sung3
2697|刉|刉|gei1
2698|刑事|刑事|jing4 si6
2699|刖刑|刖刑|jyut6 jing4
2700|列|列|lit6
2701|列斯|列斯|lit6 si1
2702|列祖列宗|列祖列宗|lit6 zou2 lit6 zung1
2703|初一流流|初一流流|co1 jat1 lau4 lau4
2704|初不初|初不初|co1 bat1 co1
2705|初交|初交|co1 gaau1
2706|初初|初初|co1 co1
2707|初吻|初吻|co1 man5
2708|初哥|初哥|co1 go1
2709|初嚟甫到|初嚟甫到|co1 lai4 pou3 dou3
2710|初學|初学|co1 hok6
2711|初心|初心|co1 sam1
2712|初戀|初恋|co1 lyun2
2713|初戀情人|初恋情人|co1 lyun2 cing4 jan4
2714|初時|初时|co1 si4
2715|初期|初期|co1 kei4
2716|初步|初步|co1 bou6
2717|初發芙蓉|初发芙蓉|co1 faat3 fu4 jung4
2718|初級|初级|co1 kap1
2719|初級班|初级班|co1 kap1 baan1
2720|初速度|初速度|co1 cuk1 dou6
2721|判例|判例|pun3 lai6
2722|判斷|判断|pun3 dyun6
2723|判決|判决|pun3 kyut3
2724|判決書|判决书|pun3 kyut3 syu1
2725|判罪|判罪|pun3 zeoi6
2726|判頭|判头|pun3 tau4
2727|別|别|bit6
2728|別具匠心|别具匠心|bit6 geoi6 zoeng6 sam1
2729|別有風味|别有风味|bit6 jau5 fung1 mei6
2730|刨|刨|paau4
2731|刨冬瓜|刨冬瓜|paau4 dung1 gwaa1
2732|刨書|刨书|paau4 syu1
2733|利便|利便|lei6 bin6
2734|利偉倫|利伟伦|lei6 wai5 leon4
2735|利利是是|利利是是|lei6 lei6 si6 si6
2736|利口|利口|lei6 hau2
2737|利口不利腹|利口不利腹|lei6 hau2 bat1 lei6 fuk1
2738|利口唔利腹|利口唔利腹|lei6 hau2 m4 lei6 fuk1
2739|利害|利害|lei6 hoi6
2740|利市|利市|lei6 si5
2741|利是|利是|lei6 si6
2742|利是封|利是封|lei6 si6 fung1
2743|利智|利智|lei6 zi3
2744|利東街|利东街|lei6 dung1 gaai1
2745|利誘|利诱|lei6 jau5
2746|刪改|删改|saan1 goi2
2747|刪繁就簡|删繁就简|saan1 faan4 zau6 gaan2
2748|刮|刮|gwaat3
2749|刮削|刮削|gwaat3 soek3
2750|刮友|刮友|gwaat3 jau5
2751|刮料|刮料|gwaat3 liu2
2752|刮沙|刮沙|gwaat3 saa1
2753|刮粗龍|刮粗龙|gwaat3 cou1 lung4
2754|刮花|刮花|gwaat3 faa1
2755|刮龍|刮龙|gwaat3 lung2
2756|到|到|dou3
2757|到其時|到其时|dou3 kei4 si4
2758|到喉唔到肺|到喉唔到肺|dou3 hau4 m4 dou3 fai3
2759|到埗|到埗|dou3 bou6
2760|到埠|到埠|dou3 fau6
2761|到時|到时|dou3 si4
2762|到時到候|到时到候|dou3 si4 dou3 hau6
2763|到會|到会|dou3 wui6
2764|到死|到死|dou3 sei2
2765|制|制|zai3
2766|制勝|制胜|zai3 sing3
2767|制唔過|制唔过|zai3 m4 gwo3
2768|制得過|制得过|zai3 dak1 gwo3
2769|制水|制水|zai3 seoi2
2770|制訂|制订|zai3 ding3
2771|制高點|制高点|zai3 gou1 dim2
2772|刷|刷|caat3
2773|刷白|刷白|saat3 baak6
2774|刷鞋|刷鞋|caat3 haai4
2775|刺|刺|ci3
2776|刺癢|刺痒|ci3 joeng5
2777|刻字|刻字|hak1 zi6
2778|刻苦|刻苦|hak1 fu2
2779|刻薄|刻薄|hak1 bok6
2780|剃刀門楣|剃刀门楣|tai3 dou1 mun4 mei4
2781|剃眼眉|剃眼眉|tai3 ngaan5 mei4
2782|剃面|剃面|tai3 min6
2783|剃鬚|剃须|tai3 sou1
2784|則|则|zak1
2785|則師|则师|zak1 si1
2786|削|削|soek3
2787|削仔|削仔|soek3 zai2
2788|削地|削地|soek3 dei6
2789|削坺坺|削坺坺|soek3 paat6 paat6
2790|削平|削平|soek3 ping4
2791|前世唔修|前世唔修|cin4 sai3 m4 sau1
2792|前世撈亂骨頭|前世捞乱骨头|cin4 sai3 lou1 lyun6 gwat1 tau4
2793|前仆后繼|前仆后继|cin4 puk1 hau6 gai3
2794|前便|前便|cin4 bin6
2795|前個排|前个排|cin4 go3 paai4
2796|前列腺癌|前列腺癌|cin4 lit6 sin3 ngaam4
2797|前前後後|前前后后|cin4 cin4 hau6 hau6
2798|前功盡廢|前功尽废|cin4 gung1 zeon6 fai3
2799|前嗰排|前嗰排|cin4 go2 paai4
2800|前嗰排|前嗰排|cin4 go2 paai4
2801|前嗰牌|前嗰牌|cin4 go2 paai4
2802|前嗰輪|前嗰轮|cin4 go3 leon4
2803|前園|前园|cin4 jyun4
2804|前塵往事|前尘往事|cin4 can4 wong5 si6
2805|前山|前山|cin4 saan1
2806|前度|前度|cin4 dou6
2807|前座|前座|cin4 zo6
2808|前後|前后|cin4 hau6
2809|前後左右|前后左右|cin4 hau6 zo2 jau6
2810|前後腳|前后脚|cin4 hau6 goek3
2811|前思后想|前思后想|cin4 si1 hau6 soeng2
2812|前排|前排|cin4 paai4
2813|前提|前提|cin4 tai4
2814|前晚|前晚|cin4 maan5
2815|前海灣站|前海湾站|cin4 hoi2 waan1 zaam6
2816|前無古人|前无古人|cin4 mou4 gu2 jan4
2817|前線|前线|cin4 sin3
2818|前菜|前菜|cin4 coi3
2819|前言不對後語|前言不对后语|cin4 jin4 bat1 deoi3 hau6 jyu5
2820|前途|前途|cin4 tou4
2821|前驅|前驱|cin4 keoi1
2822|剎掣|刹掣|saat3 zai3
2823|剎那|刹那|saat3 naa5
2824|剒|剒|cok3
2825|剒住度氣|剒住度气|co4 zyu6 dou6 hei3
2826|剔|剔|tik1
2827|剔手邊|剔手边|tik1 sau2 bin1
2828|剖心|剖心|pau2 sam1
2829|剖面圖|剖面图|pau2 min6 tou4
2830|剛啱|刚啱|gong1 ngaam1
2831|剛果共和國|刚果共和国|gong1 gwo2 gung6 wo4 gwok3
2832|剛柔相濟|刚柔相济|gong1 jau4 soeng1 zai3
2833|剝|剥|mok1
2834|剝光豬|剥光猪|mok1 gwong1 zyu1
2835|剝殼|剥壳|mok1 hok3
2836|剝牙|剥牙|mok1 ngaa4
2837|剝皮牛|剥皮牛|1 mok1 pei4 ngau4
2838|剝花生|剥花生|mok1 faa1 sang1
2839|剝衫|剥衫|mok1 saam1
2840|剪草|剪草|zin2 cou2
2841|剪髮|剪发|zin2 faat3
2842|剫|剫|dok6
2843|副團長|副团长|fu3 tyun4 zoeng2
2844|副官|副官|fu3 gun1
